######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      5.4232421
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
--------------------------------------------------------------------------------------------------------------
  6.3595085      0.9362663      5.4232421      -0.0936266   9.1062e-01  10.00000      AM     
  6.9909008      0.6313923      5.4232421      -0.0631392   9.3881e-01  10.00000      AM     
  5.2713473      -1.7195535     5.2713473      -0.0631392   9.3881e-01  9.89757       AF     
  5.2590060      -0.0123413     5.2590060      -0.0631392   9.3881e-01  9.79619       AF     
  5.2453191      -0.0136870     5.2453191      -0.0631392   9.3881e-01  9.69584       AF     
  6.2036740      0.9583549      5.2453191      -0.0998648   9.0496e-01  9.59652       AM     
  5.1365406      -1.0671334     5.1365406      -0.0998648   9.0496e-01  9.49823       AF     
  5.4267915      0.2902509      5.1365406      -0.0308747   9.6960e-01  9.40093       AM     
  5.0241468      -0.4026448     5.0241468      -0.0308747   9.6960e-01  9.30464       AF     
  6.0759357      1.0517889      5.0241468      -0.1142091   8.9207e-01  9.20933       AM     
  5.8261692      -0.2497664     5.0241468      -0.1142091   8.9207e-01  9.11500       AF     
  5.3149798      -0.5111895     5.0241468      -0.1142091   8.9207e-01  9.02163       AF     
  5.6641293      0.3491496      5.0241468      -0.0391019   9.6165e-01  8.92922       AM     
  4.6302049      -1.0339244     4.6302049      -0.0391019   9.6165e-01  8.83776       AF     
  5.7798172      1.1496122      4.6302049      -0.1314259   8.7684e-01  8.74723       AM     
  4.8784256      -0.9013916     4.6302049      -0.1314259   8.7684e-01  8.65763       AF     
  4.7670884      -0.1113372     4.6302049      -0.1314259   8.7684e-01  8.56895       AF     
  5.6265536      0.8594652      4.6302049      -0.1013380   9.0363e-01  8.48117       AM     
  5.0611415      -0.5654121     4.6302049      -0.1013380   9.0363e-01  8.39430       AF     
  6.3973298      1.3361883      4.6302049      -0.1608254   8.5144e-01  8.30832       AM     
  5.7425572      -0.6547726     4.6302049      -0.1608254   8.5144e-01  8.22321       AF     
  6.2025573      0.4600001      4.6302049      -0.0565182   9.4505e-01  8.13898       AM     
  5.5856354      -0.6169220     4.6302049      -0.0565182   9.4505e-01  8.05561       AF     
  4.4486487      -1.1369867     4.4486487      -0.0565182   9.4505e-01  7.97310       AF     
  4.9967679      0.5481192      4.4486487      -0.0694576   9.3290e-01  7.89143       AM     
  4.4791713      -0.5175966     4.4486487      -0.0694576   9.3290e-01  7.81059       AF     
  5.6797701      1.2005988      4.4486487      -0.1553050   8.5615e-01  7.73059       AM     
  5.5973353      -0.0824348     4.4486487      -0.1553050   8.5615e-01  7.65140       AF     
