      #IC_LIST         QM_V      MM_V    D(MM-QM) 
  ETDM_N2_WAT_LP1      0.000     5.281     0.000  
  ETDM_N2_WAT_LN1      2.147     0.952    -1.195  
  ETDM_N2_WAT_LN2      2.579     1.443    -1.136  
  ETDM_N3_WAT_LP1      1.850     0.869    -0.981  
  ETDM_N3_WAT_LN1      1.831     1.240    -0.591  
  ETDM_N3_WAT_LP2      0.018    -0.723    -0.741  
  ETDM_N3_WAT_LN2     -0.216    -1.490    -1.274  
  ETDM_H25_WAT_90     -4.922    -6.789    -1.867  
  ETDM_H32_WAT_90     -4.781    -4.668     0.113  
  ETDM_H33_WAT_90     -3.319    -4.929    -1.610  
   ETDM_H40_WAT_0     -9.757    -7.160     2.597  
  ETDM_H40_WAT_90     -8.541    -6.731     1.810  
   ETDM_H41_WAT_0      0.000    -7.274     0.000  
  ETDM_H41_WAT_90     -7.823    -6.405     1.418  
   ETDM_H42_WAT_0     -8.633    -8.461     0.172  
  ETDM_H42_WAT_90     -7.730    -8.140    -0.410  
   ETDM_H43_WAT_0     -9.606    -8.690     0.916  
  ETDM_H43_WAT_90     -8.331    -8.243     0.088  
