     #filename         QM_E      MM_E    E(MM-QM)   QM_D   MM_D  D(MM-QM)
  ETDM_N2_WAT_LP1      0.000     5.477     0.000    0.00   3.00   0.00 
  ETDM_N2_WAT_LN1      2.147     1.355    -0.792    3.00   3.00   0.00 
  ETDM_N2_WAT_LN2      2.579     1.970    -0.609    3.00   3.00   0.00 
  ETDM_N3_WAT_LP1      1.850     0.144    -1.706    2.80   2.13  -0.67 
  ETDM_N3_WAT_LN1      1.831     0.568    -1.263    3.00   2.31  -0.69 
  ETDM_N3_WAT_LP2      0.018    -1.543    -1.561    2.65   2.16  -0.49 
  ETDM_N3_WAT_LN2     -0.216    -2.325    -2.109    2.55   2.06  -0.49 
  ETDM_H25_WAT_90     -4.922    -6.561    -1.639    2.65   2.56  -0.09 
  ETDM_H32_WAT_90     -4.781    -4.442     0.339    2.50   2.58   0.08 
  ETDM_H33_WAT_90     -3.319    -4.625    -1.306    2.75   2.57  -0.18 
   ETDM_H40_WAT_0     -9.757    -8.087     1.670    2.05   1.87  -0.18 
  ETDM_H40_WAT_90     -8.541    -7.653     0.888    2.10   1.88  -0.22 
   ETDM_H41_WAT_0      0.000    -8.182     0.000    0.00   1.88   0.00 
  ETDM_H41_WAT_90     -7.823    -7.340     0.483    2.10   1.90  -0.20 
   ETDM_H42_WAT_0     -8.633    -7.509     1.124    2.05   1.88  -0.17 
  ETDM_H42_WAT_90     -7.730    -7.164     0.566    2.10   1.89  -0.21 
   ETDM_H43_WAT_0     -9.606    -7.766     1.840    2.05   1.87  -0.18 
  ETDM_H43_WAT_90     -8.331    -7.323     1.008    2.10   1.89  -0.21 
