######################
### Initial Values ###
######################
 
Initial temp = 10.0
Initial RMSE =      1.3477545
 
Lets see how it goes!
 
--------------------------------------------------------------------------------------------------------------
     RMSE         delRMSE        BestRMSE     MP_Exponent    MP_Value   MCSA_Temp   decision  
--------------------------------------------------------------------------------------------------------------
  1.3659614      0.0182069      1.3477545      -0.0018207   9.9818e-01  10.00000      AM     
  1.3646574      -0.0013040     1.3477545      -0.0018207   9.9818e-01  10.00000      AF     
  1.3924253      0.0277680      1.3477545      -0.0028055   9.9720e-01  9.89757       AM     
  1.3636551      -0.0287703     1.3477545      -0.0028055   9.9720e-01  9.79619       AF     
  1.3294794      -0.0341756     1.3294794      -0.0028055   9.9720e-01  9.69584       AF     
  1.3236299      -0.0058496     1.3236299      -0.0028055   9.9720e-01  9.59652       AF     
  1.3099327      -0.0136972     1.3099327      -0.0028055   9.9720e-01  9.49823       AF     
  1.3229917      0.0130590      1.3099327      -0.0013891   9.9861e-01  9.40093       AM     
  1.3734742      0.0504825      1.3099327      -0.0054255   9.9459e-01  9.30464       AM     
  1.3259972      -0.0474770     1.3099327      -0.0054255   9.9459e-01  9.20933       AF     
  1.3676609      0.0416637      1.3099327      -0.0045709   9.9544e-01  9.11500       AM     
  1.3689229      0.0012620      1.3099327      -0.0001399   9.9986e-01  9.02163       AM     
  1.3568265      -0.0120964     1.3099327      -0.0001399   9.9986e-01  8.92922       AF     
  1.3656597      0.0088332      1.3099327      -0.0009995   9.9900e-01  8.83776       AM     
  1.3707558      0.0050961      1.3099327      -0.0005826   9.9942e-01  8.74723       AM     
  1.3340042      -0.0367516     1.3099327      -0.0005826   9.9942e-01  8.65763       AF     
  1.3204988      -0.0135054     1.3099327      -0.0005826   9.9942e-01  8.56895       AF     
  1.3297106      0.0092117      1.3099327      -0.0010861   9.9891e-01  8.48117       AM     
  1.3328073      0.0030967      1.3099327      -0.0003689   9.9963e-01  8.39430       AM     
  1.3825837      0.0497765      1.3099327      -0.0059912   9.9403e-01  8.30832       AM     
  1.3377461      -0.0448377     1.3099327      -0.0059912   9.9403e-01  8.22321       AF     
  1.3704589      0.0327128      1.3099327      -0.0040193   9.9599e-01  8.13898       AM     
  1.3439979      -0.0264610     1.3099327      -0.0040193   9.9599e-01  8.05561       AF     
  1.3359273      -0.0080706     1.3099327      -0.0040193   9.9599e-01  7.97310       AF     
  1.3368557      0.0009284      1.3099327      -0.0001176   9.9988e-01  7.89143       AM     
  1.3332051      -0.0036505     1.3099327      -0.0001176   9.9988e-01  7.81059       AF     
  1.3398565      0.0066514      1.3099327      -0.0008604   9.9914e-01  7.73059       AM     
  1.3574791      0.0176226      1.3099327      -0.0023032   9.9770e-01  7.65140       AM     
  1.3278572      -0.0296220     1.3099327      -0.0023032   9.9770e-01  7.57303       AF     
  1.3622993      0.0344421      1.3099327      -0.0045951   9.9542e-01  7.49545       AM     
  1.3210469      -0.0412524     1.3099327      -0.0045951   9.9542e-01  7.41868       AF     
  1.3727755      0.0517286      1.3099327      -0.0070449   9.9298e-01  7.34269       AM     
  1.3298759      -0.0428996     1.3099327      -0.0070449   9.9298e-01  7.26747       AF     
  1.3569399      0.0270640      1.3099327      -0.0037625   9.9624e-01  7.19303       AM     
  1.3844343      0.0274944      1.3099327      -0.0038619   9.9615e-01  7.11935       AM     
  1.3189339      -0.0655004     1.3099327      -0.0038619   9.9615e-01  7.04643       AF     
  1.3430911      0.0241572      1.3099327      -0.0034638   9.9654e-01  6.97425       AM     
  1.3228528      -0.0202383     1.3099327      -0.0034638   9.9654e-01  6.90281       AF     
  1.3355045      0.0126517      1.3099327      -0.0018518   9.9815e-01  6.83210       AM     
  1.3856044      0.0500999      1.3099327      -0.0074089   9.9262e-01  6.76212       AM     
  1.3131795      -0.0724249     1.3099327      -0.0074089   9.9262e-01  6.69286       AF     
  1.3620187      0.0488392      1.3099327      -0.0073727   9.9265e-01  6.62430       AM     
  1.3784266      0.0164078      1.3099327      -0.0025026   9.9750e-01  6.55645       AM     
  1.3155894      -0.0628372     1.3099327      -0.0025026   9.9750e-01  6.48929       AF     
  1.3319352      0.0163458      1.3099327      -0.0025450   9.9746e-01  6.42282       AM     
  1.3428905      0.0109553      1.3099327      -0.0017233   9.9828e-01  6.35703       AM     
  1.3506290      0.0077385      1.3099327      -0.0012299   9.9877e-01  6.29191       AM     
  1.3973798      0.0467508      1.3099327      -0.0075072   9.9252e-01  6.22746       AM     
  1.3542843      -0.0430955     1.3099327      -0.0075072   9.9252e-01  6.16367       AF     
  1.3069032      -0.0473811     1.3069032      -0.0075072   9.9252e-01  6.10054       AF     
  1.3903499      0.0834466      1.3069032      -0.0138201   9.8627e-01  6.03805       AM     
  1.3730455      -0.0173044     1.3069032      -0.0138201   9.8627e-01  5.97620       AF     
  1.3613983      -0.0116472     1.3069032      -0.0138201   9.8627e-01  5.91498       AF     
